Omics,Gene,Cell,Weight
1,62,79,0.0
0,2,80,0.0
0,3,80,0.0
0,4,80,0.0
0,5,80,0.0
0,6,80,0.0
0,7,80,0.0
0,8,80,0.0
0,9,80,0.0
0,10,80,0.0
0,11,80,18.17823558
0,12,80,0.0
0,13,80,0.0
0,14,80,0.0
0,15,80,0.0
0,16,80,0.0
0,17,80,16.51656909
0,18,80,0.0
0,19,80,20.46471964
0,20,80,0.0
0,21,80,8.41842076
0,22,80,0.0
0,23,80,0.0
0,24,80,0.0
0,25,80,0.0
0,26,80,0.0
0,27,80,8.11185247
0,28,80,21.27286551
0,29,80,17.71137718
0,30,80,0.0
0,31,80,0.0
0,32,80,0.0
0,33,80,0.0
0,34,80,0.0
0,35,80,0.0
1,36,80,1.0
1,37,80,0.0
1,38,80,0.0
1,39,80,0.0
1,40,80,1.0
1,41,80,0.0
1,42,80,1.0
1,43,80,0.0
1,44,80,0.0
1,45,80,1.0
1,46,80,1.0
1,47,80,1.0
1,48,80,1.0
1,49,80,0.0
1,50,80,1.0
1,51,80,1.0
1,52,80,1.0
1,53,80,0.0
1,54,80,0.0
1,55,80,1.0
1,56,80,0.0
1,57,80,0.0
1,58,80,1.0
1,59,80,0.0
1,60,80,0.0
1,61,80,0.0
1,62,80,0.0
0,2,81,0.0
0,3,81,0.0
0,4,81,0.0
0,5,81,0.0
0,6,81,0.0
0,7,81,0.0
0,8,81,0.0
0,9,81,0.0
0,10,81,0.0
0,11,81,15.46083429
0,12,81,0.0
0,13,81,0.0
0,14,81,14.11214779
0,15,81,0.0
0,16,81,0.0
0,17,81,0.0
0,18,81,0.0
0,19,81,17.89304719
0,20,81,0.0
0,21,81,4.82660671
0,22,81,0.0
0,23,81,0.0
0,24,81,0.0
0,25,81,0.0
0,26,81,0.0
0,27,81,0.0
0,28,81,19.19339461
0,29,81,18.37078024
0,30,81,0.0
0,31,81,4.7678911
0,32,81,0.0
0,33,81,0.0
0,34,81,0.0
